item_name,size,synonyms,Ingredients
10 piece Chicken Dippers,Standard,"*Chicken Dippers 10 piece, Chicken Dippers 10 pieces, Chicken Nuggets, Chicken Dipper, Chicken Digger, Chicken Deeper, Large Tray Chicken Dippers, 10 piece Chicken Dipper,10 piece Chicken Nugget,Ten piece Chicken Nuggets,Chicken Dipper,Chicken Digger,Chicken Deeper,10 wings,10 wing,10 Chicken Dippers,10 piece Dippers,10 Dippers*",Garlic Butter Crust
10 piece Boneless Wings,Standard,"*Boneless Wings 10 piece,Boneless Wings 10 pieces, Boneless wing, Bonus Wings, Bonus Wing, Ten piece Boneless wings,10 piece Boneless wing,Boneless wing,Boneless,No Bone wing,No Bone wings,10 bonus Wings,10 boneless Wings,10 wings,10 wing,boneless chicken wings,10 boneless chicken wings,Wings,chicken wings*",Herb Butter Crust
18 piece Boneless Wings,Standard,"*Boneless Wings 18 piece,Boneless Wings 18 pieces, Boneless wing, Bonus Wings, Bonus Wing, Eighteen piece Boneless wings,18 piece Boneless wing,Boneless wing,Boneless,No Bone wing,No Bone wings,18 wing,18 wings,18 boneless wings,boneless chicken wings,Wings,chicken wings,18 piece wings*",Butter Crust
Hot Fries,Standard,"*Hot Tries,Hot Cries,Hot Fry*",Bake Light
Stuffed Arancini,Standard,"*Stuff Arancini,Arancini*",Bake Well
Fried Pickles,Standard,"*Fried Pickle,Cried Pickles,Tried Pickles*",Take and Bake
8 piece Mozzarella Sticks,Standard,"*Mozzarella Sticks 8 piece, Mozzarella Sticks 8 pieces, Mozzarella Stick,Cheese Sticks,Cheese Stick,Keys Stick,Keys tick,Kees Stick,8 mozzarella sticks,eight mozzarella sticks,8 Cheese Sticks,8 mozzarella stick,eight piece mozarella sticks*",Just Right
12 piece Mozzarella Sticks,Standard,"*Mozzarella Sticks 12 piece, Mozzarella Sticks 12 pieces, Mozzarella Stick,Cheese Sticks,Cheese Stick,Keys Stick,Keys tick,Kees Stick,12 mozzarella sticks,twelve mozzarella sticks,12 Cheese Sticks,twelve piece mozarella sticks*",Cut
Cheesy Garlic Bread,Standard,"*Garlic Cheesy Bread,Garlic Cheese Bread,Cheese Garlic Bread,,garlic bread with cheese,garlic bread with the cheese,garlic bread cheese*",Italian Seasoning
Garlic Bread,Standard,"*Classic Garlic Bread,Garlic Bread,Traditional Garlic Bread*",Chocolate Chip
Bruschetta,Standard,"*Brushetta,Brusketta*",Sugar
French Fries,Standard,"*Fries,Tries,Cries*",Oatmeal Raisin
Garlic Parmesan Fries,Standard,"*Parmesan Fries,Parmesan Tries,Parmesan Cries,Garlic Parmesan Tries,Garlic Parmesan Cries,Garlic Parmesan Fries,Garlic Parmesan Fry,garlic parm fries*",Snickerdoodle
Super Fries,Standard,"*Super Tries,Super Cries,Super Fry*",Strawberry Shortcake
Chicken Club Melt,Standard,"*Chicken Melt,Chicken Club,Chicken Club Sandwich,club melt,club metls*",Marinated Pasta
Patty Melt,Standard,*Patty Melt Sandwich*,Sunflower Seeds
Carolina Barbecue Chicken Melt,Standard,"*Carolina Barbecue Chicken Sandwich,Barbecue Chicken Sandwich,Carolina BBQ Chicken Melt,carolina BBQ Melt,Carolina Barbecue melt*",Craisins
Chicago Melt,Standard,"*Chicago Melt Sandwich,Chicago Sandwich*",Apples
Roasted Veggie Melt,Standard,"*Veggie Melt,Roasted Veggie Melt Sandwich,Roasted Veggie Sandwich,Roasted Veggies Sandwich*",Toasted Almonds
